Asus VivoBook 14 F412 (US),"14.0"" - 1920x1080",AMD Ryzen 5 3500U,AMD Radeon RX Vega 8 (Picasso),8 GB DDR4,256 GB - SSD,1.5 Kg / 3.3 lb,Windows 10 Home,Estimated battery: 6.4 - 6.9 h,14586642,https://laptopmedia.com/wp-content/uploads/2021/05/617GQvbZH5L._AC_SL1152_.jpg,V?n ph�ng
Lenovo ThinkPad E15 (US),"15.6"" - 1920x1080",INTEL i5-1135G7,INTEL Iris Xe G7 80 EU,8 GB DDR4,256 GB - SSD,1.8 Kg / 3.97 lb,Windows 10 Pro,Estimated battery: 4.8 - 5.1 h,18205884,https://p4-ofp.static.pub/ShareResource/na/subseries/hero/lenovo-thinkpad-e15-g4.png,V?n ph�ng
HP Zbook Firefly 15 (US),"15.6"" - 1920x1080",INTEL i7-10510U,INTEL HD Graphics 620,16 GB DDR4,512 GB - SSD,1.76 Kg / 3.87 lb,Windows 10 Pro,Estimated battery: 9.6 - 10.3 h,20691828,https://m.media-amazon.com/images/I/71moK-4pviL.jpg,"?? ho?, k? thu?t"
Acer Predator Triton 300 PT314SE (US),"14.0"" - 1920x1200",INTEL i7-12700H,NVIDIA GeForce RTX 3060 95W,16 GB DDR5,512 GB - SSD,1.7 Kg / 3.75 lb,Windows 11 Home,Estimated battery: 5.7 - 6.1 h,24116094,https://m.media-amazon.com/images/I/61gDKIl2hKL.jpg,Gaming
HP Victus 16t (US),"16.1"" - 1920x1080",INTEL i5-11260H,NVIDIA GeForce RTX 3050,8 GB DDR4,512 GB - SSD,2.47 Kg / 5.44 lb,Windows 10 Home,Estimated battery: 5.3 - 5.7 h,20825874,https://ssl-product-images.www8-hp.com/digmedialib/prodimg/lowres/c08524452.png,Gaming
Dell Latitude 15 (US),"15.6"" - 1920x1080",INTEL i5-1135G7,INTEL Iris Xe G7 80 EU,8 GB DDR4,256 GB - SSD,1.79 Kg / 3.95 lb,Windows 10 Pro,Estimated battery: 4.6 - 5 h,17620956,https://i.dell.com/is/image/DellContent//content/dam/ss2/product-images/page/franchise/latitude/us-sb-laptop-franchise-page-notebook-latitude-15-3520-800x550.png?fmt=jpg&wid=800&hei=550,V?n ph�ng
Lenovo IdeaPad Flex 5 15 (US),"15.6"" - 1920x1080",AMD Ryzen 7 5700U,AMD Radeon RX Vega 8 (Cezanne),16 GB DDR4,512 GB - SSD,1.8 Kg / 3.97 lb,Windows 11 Home,Estimated battery: 6.6 - 7.1 h,18754254,https://p1-ofp.static.pub/medias/bWFzdGVyfHJvb3R8NjEyODd8aW1hZ2UvcG5nfGg0Ny9oNjkvOTQ0Mjk1NjkzNTE5OC5wbmd8ZmQ2MmNmMmE0YjNmMWE5OWFmOGMzNGRiOGVkOTM2NzY0OGRjMDhmMzc2ODFjNTQ4NWFhMWVmOGRmY2M0OGM2NQ/lenovo-flex-5-15-hero.png,V?n ph�ng
Asus VivoBook 15 M1502 (US),"15.6"" - 1920x1080",AMD Ryzen 7 7730U,AMD Radeon Graphics,16 GB DDR4,1024 GB - SSD,1.7 Kg / 3.75 lb,Windows 11 Pro,Estimated battery: 7.2 - 7.7 h,17023842,https://dlcdnwebimgs.asus.com/gain/6a82739e-15f1-4f98-8951-245cf248e451/,V?n ph�ng
Asus VivoBook S14 S433 (US),"14.0"" - 1920x1080",INTEL i5-1135G7,INTEL Iris Xe G7 80 EU,8 GB DDR4,512 GB - SSD,1.4 Kg / 3.09 lb,Windows 10 Home,Estimated battery: 5.7 - 6.2 h,18315558,https://dlcdnwebimgs.asus.com/gain/7ed0542b-234d-4970-85d7-39012107f96b/,V?n ph�ng
Lenovo IdeaPad Gaming 3 15 (US),"15.6"" - 1920x1080",INTEL i5-12500H,NVIDIA GeForce RTX 3050,8 GB DDR4,512 GB - SSD,2.32 Kg / 5.1 lb,Windows 11 Home,Estimated battery: 4.5 - 4.9 h,21020850,https://p1-ofp.static.pub/fes/cms/2022/03/14/gjrdny059lvsaximtnvj8o6nn1pp06381295.png,Gaming
MSI Creator Z16 (US),"16.0"" - 2560x1600",INTEL i7-12700H,NVIDIA GeForce RTX 3060 70W,16 GB DDR5,1024 GB - SSD,2.2 Kg / 4.85 lb,Windows 11 Pro,Estimated battery: 6 - 6.4 h,28819890,"https://m.media-amazon.com/images/I/51VAZP0F4RL._AC_UF894,1000_QL80_.jpg",Gaming
