HP Zbook Studio (US),"15.6"" - 1920x1080",INTEL i7-11800H,NVIDIA Quadro T1200,16 GB DDR4,512 GB - SSD,1.8 Kg / 3.96 lb,Windows 10 Pro,Estimated battery: 7.1 - 7.6 h,38958642,"https://m.media-amazon.com/images/I/81OV2RI5imL._AC_UF894,1000_QL80_.jpg","?? ho?, k? thu?t"
Asus ROG Flow X16 (US),"16.0"" - 2560x1600",AMD Ryzen 9 6900HS,NVIDIA GeForce RTX 3060 125W,16 GB DDR5,1024 GB - SSD,2.1 Kg / 4.63 lb,Windows 11 Home,Estimated battery: 4.2 - 4.5 h,41529888,https://cdn-amz.woka.io/images/I/71HtTkR-aOL.jpg,Gaming
MSI Raider GE63 (US),"15.6"" - 1920x1080",INTEL i7-9750H,NVIDIA GeForce RTX 2060,32 GB DDR4,1000 GB - 7200rpm HDD,2.2 Kg / 4.85 lb,Windows 10 Home,Estimated battery: 3.7 - 4 h,37191672,https://m.media-amazon.com/images/I/51oQkePWnwL.jpg,Gaming
Lenovo ThinkPad X1 Extreme (US),"15.6"" - 1920x1080",INTEL i7-10750H,NVIDIA GeForce GTX 1650 Ti Max-Q,16 GB DDR4,1024 GB - SSD,1.71 Kg / 3.76 lb,Windows 10 Pro,Estimated battery: 6.1 - 6.5 h,37764414,https://p1-ofp.static.pub/medias/bWFzdGVyfHJvb3R8Mjg0MTQ3fGltYWdlL3BuZ3xoYzYvaDAxLzE0MzMxMTU2NzkxMzI2LnBuZ3w3NWNjYzJiNmNmMjE1YTU5ZjFkOWU1YzRmOWUwY2Q5OWM0OGNmZGFlOGIxOGVhYmY3ZGE3Yjc2ZjM5YjgwYzQ0/lenovo-laptop-thinkpad-x1-extreme-2nd-gen-hero.png,Gaming
Lenovo IdeaPad 1-14 (US),"14.0"" - 1920x1080",AMD Athlon Silver 3050e,AMD Radeon RX Vega 3 (Picasso),4 GB DDR4,128 GB - SSD,1.4 Kg / 3.09 lb,Windows 10 Home,Estimated battery: 7.3 - 7.8 h,5946768,https://static.lenovo.com/na/subseries/hero/ideapad-1-14-intel-ice-blue-hero.png,M?ng nh?
Chuwi GemiBook Pro (US),"14.0"" - 2160x1440",INTEL Celeron N5100,INTEL UHD Graphics 11th gen,8 GB DDR4,256 GB - SSD,1.5 Kg / 3.31 lb,Windows 10 Home,Estimated battery: 7.6 - 8.1 h,7275042,https://us.chuwi.com/cdn/shop/files/GemiBook-Pro-png_e229bdb2-0f41-4b09-a0b9-fbe55149dd38.png?v=1684921066,V?n ph�ng
Lenovo IdeaPad 3 14 (US),"14.0"" - 1920x1080",INTEL i3-1115G4,INTEL Intel UHD Graphics Xe G4 48 EU,8 GB DDR4,256 GB - SSD,1.5 Kg / 3.31 lb,Windows 11 Home,Estimated battery: 4.9 - 5.3 h,8140248,https://m.media-amazon.com/images/I/71eLIuDmIgL.jpg,V?n ph�ng
HP Chromebook x360 14b (US),"14.0"" - 1366x768",INTEL Celeron N4000,INTEL HD Graphics 600,4 GB DDR4,32 GB - EMMC,1.58 Kg / 3.48 lb,Chrome OS,Estimated battery: 12 - 12.8 h,6495138,"https://m.media-amazon.com/images/I/81PPTdTBZBL._AC_UF1000,1000_QL80_.jpg",V?n ph�ng
Asus VivoBook 15 F515 (US),"15.6"" - 1920x1080",INTEL i3-1115G4,INTEL Intel UHD Graphics Xe G4 48 EU,4 GB DDR4,128 GB - SSD,1.8 Kg / 3.97 lb,Windows 11 Home,Estimated battery: 4.7 - 5.1 h,7311600,"https://m.media-amazon.com/images/I/71GKXeMFy-L._AC_UF1000,1000_QL80_.jpg",V?n ph�ng
Lenovo IdeaPad 3 15 (US),"15.6"" - 1920x1080",INTEL i3-1115G4,INTEL Intel UHD Graphics Xe G4 48 EU,4 GB DDR4,128 GB - SSD,1.7 Kg / 3.75 lb,Windows 10 Home,Estimated battery: 4.5 - 4.8 h,7275042,https://hanoilab.com/wp-content/uploads/2021/11/Lenovo-IdeaPad-3-15ITL06.jpg,V?n ph�ng
Lenovo ThinkPad L14 (US),"14.0"" - 1920x1080",INTEL i5-1135G7,INTEL Iris Xe G7 80 EU,8 GB DDR4,256 GB - SSD,1.74 Kg / 3.84 lb,Windows 10 Pro,Estimated battery: 5.2 - 5.5 h,10455588,https://p1-ofp.static.pub/medias/bWFzdGVyfHJvb3R8MzEyMDA2fGltYWdlL3BuZ3xoNmEvaDU5LzE0NDA4MDI3NTM3NDM4LnBuZ3w0OGNlYjI0YzkwNzRiNjhlYjFjYzhmMmUzZWJmMzVjOGRhNzM1M2JkZTBiYTVkNzhiOWNjNWI0M2U2NzJlYTYz/lenovo-laptop-thinkpad-l14-intel-hero-1-.png,V?n ph�ng
Acer Aspire 5 15 (US),"15.6"" - 1920x1080",INTEL i3-1115G4,INTEL Intel UHD Graphics Xe G4 48 EU,8 GB DDR4,128 GB - SSD,1.9 Kg / 4.19 lb,Windows 10 Home,Estimated battery: 6.2 - 6.6 h,8761734,"https://m.media-amazon.com/images/I/71kmViEHobL._AC_UF1000,1000_QL80_.jpg",V?n ph�ng
HP 15t (US),"15.6"" - 1920x1080",INTEL i3-1125G4,INTEL UHD Graphics 11th gen,8 GB DDR4,256 GB - SSD,1.7 Kg / 3.75 lb,Windows 10 Home,Estimated battery: 5.3 - 5.6 h,8518014,https://ssl-product-images.www8-hp.com/digmedialib/prodimg/lowres/c08510541.png,V?n ph�ng
Asus VivoBook 15 R565 (US),"15.6"" - 1920x1080",INTEL i3-1115G4,INTEL Intel UHD Graphics Xe G4 48 EU,8 GB DDR4,128 GB - SSD,1.8 Kg / 3.97 lb,Windows 10 Home,Estimated battery: 4.4 - 4.7 h,8505828,https://hanoicomputercdn.com/media/product/61774_laptop_asus_vivobook_r565ea_uh31t_23.jpg,V?n ph�ng
Acer Aspire 5 14 (US),"14.0"" - 1920x1080",INTEL i5-1135G7,INTEL Iris Xe G7 80 EU,8 GB DDR4,256 GB - SSD,1.7 Kg / 3.75 lb,Windows 10 Home,Estimated battery: 5.8 - 6.3 h,9712242,https://laptop365.vn/pic/product/acer-aspire-5-a514-54-3204-i3-nxa23sv009-313420-02_637863289195372838.png,V?n ph�ng
HP 14t (US),"14.0"" - 1366x768",INTEL i3-1115G4,INTEL Intel UHD Graphics Xe G4 48 EU,8 GB DDR4,256 GB - SSD,1.47 Kg / 3.24 lb,Windows 10 Home,Estimated battery: 5.9 - 6.4 h,8067132,https://ssl-product-images.www8-hp.com/digmedialib/prodimg/lowres/c05971650.png,M?ng nh?
HP 15 (US),"15.6"" - 1920x1080",AMD Athlon Gold 3150U,AMD Radeon RX Vega 3 (Picasso),8 GB DDR4,256 GB - SSD,1.7 Kg / 3.75 lb,Windows 11 Home,Estimated battery: 7 - 7.5 h,7896528,https://my-media.apjonlinecdn.com/catalog/product/7/Z/7Z8D0PA-1_T1683018196.png,V?n ph�ng
Lenovo Yoga 7 14 (US),"14.0"" - 2240x1400",INTEL i5-1335U,INTEL Iris Xe 80 EU,8 GB DDR5,512 GB - SSD,1.55 Kg / 3.42 lb,Windows 11 Home,Estimated battery: 5.5 - 5.9 h,12186000,https://p4-ofp.static.pub/ShareResource/na/subseries/gallery/lenovo-yoga-7i-gen7-14inch.png,M?ng nh?
Lenovo IdeaPad 1-14 (US),"14.0"" - 1920x1080",INTEL i3-1215U,INTEL UHD Graphics 12th gen,8 GB DDR4,256 GB - SSD,1.37 Kg / 3.02 lb,Windows 11 Home,Estimated battery: 3.6 - 3.9 h,7579692,https://static.lenovo.com/na/subseries/hero/ideapad-1-14-intel-ice-blue-hero.png,M?ng nh?
Lenovo IdeaPad Flex 5 14 (US),"14.0"" - 1920x1080",INTEL i3-1115G4,INTEL Intel UHD Graphics Xe G4 48 EU,4 GB DDR4,128 GB - SSD,1.5 Kg / 3.31 lb,Windows 10 Home,Estimated battery: 6.4 - 6.9 h,8737362,https://p4-ofp.static.pub/ShareResource/na/subseries/hero/lenovo-ideapad-flex-5-gen7-amd.png,V?n ph�ng
Lenovo ThinkBook 15 (US),"15.6"" - 1920x1080",AMD Ryzen 3 5300U,AMD Radeon RX Vega 6 (Cezanne),8 GB DDR4,256 GB - SSD,1.7 Kg / 3.75 lb,Windows 10 Pro,Estimated battery: 6.1 - 6.6 h,10406844,https://p3-ofp.static.pub/fes/cms/2022/03/17/ok395qmu2onm5h618vv6u8ri09qw3g846750.png,V?n ph�ng
Dell Inspiron 15 (US),"15.6"" - 1920x1080",INTEL i3-1115G4,INTEL Intel UHD Graphics Xe G4 48 EU,8 GB DDR4,256 GB - SSD,1.78 Kg / 3.92 lb,Windows 10 Home,Estimated battery: 5 - 5.3 h,9371034,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6508/6508652_sd.jpg,V?n ph�ng
Lenovo ThinkPad T14s (US),"14.0"" - 1920x1080",AMD Ryzen 5 PRO 5650U,AMD Radeon RX Vega 7 (Cezanne),8 GB DDR4,256 GB - SSD,1.62 Kg / 3.57 lb,Windows 10 Pro,Estimated battery: 9.9 - 10.6 h,11662002,"https://m.media-amazon.com/images/I/61j366a1NZL._AC_UF894,1000_QL80_.jpg",V?n ph�ng
Acer Aspire 5 15 (US),"15.6"" - 1920x1080",AMD Ryzen 3 4300U,AMD Radeon RX Vega 5 (Picasso),4 GB DDR4,128 GB - SSD,1.8 Kg / 3.97 lb,Windows 10 Home,Estimated battery: 8.2 - 8.8 h,9151686,"https://m.media-amazon.com/images/I/71kmViEHobL._AC_UF1000,1000_QL80_.jpg",V?n ph�ng
Asus ExpertBook B3 Flip B3402 (US),"14.0"" - 1920x1080",INTEL i7-1255U,INTEL Iris Xe 96 EU,16 GB DDR4,512 GB - SSD,1.61 Kg / 3.55 lb,Windows 11 Pro,Estimated battery: 4.1 - 4.4 h,25566228,https://i.ebayimg.com/images/g/wKAAAOSwoZZkpvyX/s-l500.jpg,V?n ph�ng
HP Envy 16t (US),"16.0"" - 2560x1600",INTEL i7-12700H,INTEL Iris Xe G7 96 EU,16 GB DDR5,512 GB - SSD,2.32 Kg / 5.12 lb,Windows 11 Home,Estimated battery: 6.9 - 7.4 h,36850464,https://www.trustedreviews.com/wp-content/uploads/sites/54/2023/01/HP-Envy-16-01.jpg,V?n ph�ng
MSI Prestige 14 EVO (US),"14.0"" - 1920x1200",INTEL i7-13700H,INTEL Iris Xe 96 EU,32 GB DDR5,1024 GB - SSD,1.49 Kg / 3.28 lb,Windows 11 Pro,Estimated battery: 7 - 7.5 h,34084242,https://www.tncstore.vn/image/cache/catalog/laptopmsi/089VN/3-500x500.jpg,V?n ph�ng
Acer Nitro 16 (US),"16.0"" - 2560x1600",AMD Ryzen 9 7940HS,NVIDIA GeForce RTX 4070 105W,16 GB DDR5,1024 GB - SSD,2.7 Kg / 5.95 lb,Windows 11 Home,Estimated battery: 5.7 - 6.2 h,38995200,https://m.media-amazon.com/images/I/71Domrw1ArL.jpg,Gaming
Asus VivoBook 16X K3605 (US),"16.0"" - 3200x2000",INTEL i9-13900H,INTEL Iris Xe 96 EU,16 GB DDR4,1024 GB - SSD,1.8 Kg / 3.97 lb,Windows 10 Home,Estimated battery: 5.3 - 5.7 h,36558000,https://dlcdnwebimgs.asus.com/gain/dd08062b-93d2-432c-b2a4-e6b163501519/,V?n ph�ng
Clevo PC50 (US),"15.6"" - 1920x1080",INTEL i7-10875H,NVIDIA GeForce RTX 2060,8 GB DDR4,1024 GB - SSD,2 Kg / 4.41 lb,Windows 10 Pro,Estimated battery: 5.5 - 5.9 h,37861902,https://noteb.com/res/img/models/2645_1.jpg,V?n ph�ng
MSI Vector GP66 (US),"15.6"" - 2560x1440",INTEL i7-12700H,NVIDIA GeForce RTX 3070 Ti,16 GB DDR4,1024 GB - SSD,2.38 Kg / 5.25 lb,Windows 11 Home,Estimated battery: 4.6 - 4.9 h,41395842,https://gamalaptop.vn/wp-content/uploads/2022/05/MSI-Vector-GP66-01.jpg,Gaming
Dell Latitude 15 9520 (US),"15.0"" - 1920x1080",INTEL i7-1185G7,INTEL Iris Xe G7 96 EU,16 GB DDR4,512 GB - SSD,1.5 Kg / 3.31 lb,Windows 10 Pro,Estimated battery: 11.4 - 12.2 h,38129994,https://file.hstatic.net/1000167396/file/dell-latitude-9520-1-1639452828_64d2e7a7e04c48279413124202380883.jpg,V?n ph�ng
Acer Spin 5 (US),"14.0"" - 2560x1600",INTEL i7-1260P,INTEL Iris Xe G7 96 EU,16 GB DDR4,1024 GB - SSD,1.3 Kg / 2.87 lb,Windows 11 Home,Estimated battery: 6 - 6.5 h,33426198,"https://static-ecpa.acer.com/media/catalog/product/a/c/acer-spin-5-sp513-54n-fp-steel-grey-modelmain_1.png?optimize=high&bg-color=255,255,255&fit=bounds&height=500&width=500&canvas=500:500&format=jpeg",M?ng nh?
Asus ROG Zephyrus Duo 16 (US),"16.0"" - 1920x1200",AMD Ryzen 7 6800H,NVIDIA GeForce RTX 3060 115W,16 GB DDR5,1024 GB - SSD,2.61 Kg / 5.75 lb,Windows 11 Home,Estimated battery: 6.7 - 7.2 h,42638814,https://dlcdnwebimgs.asus.com/gain/65489B09-459B-4A6C-9C07-5E3DF709C136,Gaming
Gigabyte Aorus 15X (US),"15.6"" - 2560x1440",INTEL i9-13980HX,NVIDIA GeForce RTX 4070 140W,16 GB DDR5,1024 GB - SSD,2.28 Kg / 5.03 lb,Windows 11 Home,Estimated battery: 3.2 - 3.5 h,48744000,https://cdn-amz.woka.io/images/I/71pr+643-kL.jpg,Gaming
HP ProBook 640 (US),"14.0"" - 1920x1080",INTEL i7-1265U,INTEL Iris Xe 96 EU,16 GB DDR4,512 GB - SSD,1.37 Kg / 3.03 lb,Windows 11 Pro,Estimated battery: 4.4 - 4.7 h,26285202,https://product.hstatic.net/200000226945/product/c08090741_bdabec28805c417c9a04d23cee22c467_master.png,V?n ph�ng
Gigabyte Aero 16 OLED (US),"16.0"" - 3840x2400",INTEL i7-13700H,NVIDIA GeForce RTX 4070 115W,16 GB DDR5,1024 GB - SSD,2.1 Kg / 4.63 lb,Windows 11 Home,Estimated battery: 3.2 - 3.4 h,48707442,"https://m.media-amazon.com/images/I/61jKryQlY1L._AC_UF894,1000_QL80_.jpg",Gaming
Acer Predator Triton 300 PT316 (US),"16.0"" - 2560x1600",INTEL i7-12700H,NVIDIA GeForce RTX 3060,16 GB DDR5,512 GB - SSD,2.4 Kg / 5.29 lb,Windows 11 Home,Estimated battery: 4.1 - 4.4 h,42261048,https://laptopmedia.com/wp-content/uploads/2022/12/predator-triton-300se-pt316-51s-fingerprint-backlit-on-wallpaper-logo-silver-02.tif-custom-e1670403159825.jpg,Gaming
LG gram 14 2-in-1 (US),"14.0"" - 1920x1200",INTEL i7-1360P,INTEL Iris Xe 96 EU,16 GB DDR5,1024 GB - SSD,1.13 Kg / 2.48 lb,Windows 11 Home,Estimated battery: 8.6 - 9.3 h,36521442,"https://m.media-amazon.com/images/I/71c4viLGN9L._AC_UF894,1000_QL80_.jpg",M?ng nh?
Lenovo ThinkBook 16p (US),"16.0"" - 2560x1600",INTEL i7-13700H,NVIDIA GeForce RTX 4060 115W,16 GB DDR5,512 GB - SSD,2.2 Kg / 4.85 lb,Windows 11 Pro,Estimated battery: 3.1 - 3.3 h,46075266,https://p4-ofp.static.pub/fes/cms/2022/06/06/7gph1da3u9o4c44t57umjg4s1p8gsl900468.png,Gaming
MSI Vector GP68 HX (US),"16.0"" - 1920x1200",INTEL i9-13950HX,NVIDIA GeForce RTX 4080 165W,16 GB DDR5,1024 GB - SSD,2.67 Kg / 5.89 lb,Windows 11 Home,Estimated battery: 2.7 - 2.9 h,51144642,https://m.media-amazon.com/images/I/71b4VipyWgL.jpg,Gaming
LG gram Style 16 (US),"16.0"" - 3200x2000",INTEL i7-1360P,INTEL Iris Xe 96 EU,32 GB DDR5,1024 GB - SSD,1.25 Kg / 2.76 lb,Windows 11 Home,Estimated battery: 8.5 - 9.2 h,41322726,https://m.media-amazon.com/images/I/71iNyraKfPL.jpg,M?ng nh?
Acer TravelMate P2 TMP215 (US),"15.6"" - 1920x1080",AMD Ryzen 7 PRO 5850U,AMD Radeon RX Vega 8 (Cezanne),8 GB DDR4,256 GB - SSD,1.8 Kg / 3.97 lb,Windows 10 Pro,Estimated battery: 8.2 - 8.8 h,30026304,"https://static2-ecemea.acer.com/media/catalog/product/_/_/___a__acer-travelmate-p2_tmp215-53-53g_fp-backlit_1000main_nx.vqbek.00d.png?optimize=high&bg-color=255,255,255&fit=bounds&height=500&width=500&canvas=500:500&format=jpeg",V?n ph�ng
MSI Prestige 16 Studio (US),"16.0"" - 2560x1600",INTEL i7-13700H,NVIDIA GeForce RTX 4050 45W,32 GB DDR5,1024 GB - SSD,2.1 Kg / 4.63 lb,Windows 11 Pro,Estimated battery: 4.8 - 5.1 h,43833042,https://storage-asset.msi.com/global/picture/image/feature/nb/Prestige/Prestige16-A13V/kv-laptop.png,Gaming
MSI Gaming GP66 (US),"15.6"" - 1920x1080",INTEL i7-11800H,NVIDIA GeForce RTX 3070 140W,16 GB DDR4,512 GB - SSD,2.38 Kg / 5.25 lb,Windows 10 Home,Estimated battery: 4.9 - 5.3 h,41432400,https://m.media-amazon.com/images/I/81T-9zlhPBS._AC_SL1500_.jpg,Gaming
MSI Summit E16 Flip Evo (US),"16.0"" - 2560x1600",INTEL i7-1360P,INTEL Iris Xe 96 EU,32 GB DDR5,1024 GB - SSD,2.1 Kg / 4.63 lb,Windows 11 Pro,Estimated battery: 8.6 - 9.2 h,38958642,https://www.notebookcheck.net/fileadmin/Notebooks/News/_nc3/summit_e16_flip_evo_arc_a370m_core_i7_12700h.png,V?n ph�ng
Lenovo Legion Slim 7 16 (US),"16.0"" - 2560x1600",INTEL i9-13900H,NVIDIA GeForce RTX 4070 115W,16 GB DDR5,1024 GB - SSD,2 Kg / 4.41 lb,Windows 11 Home,Estimated battery: 3.8 - 4.1 h,51181200,https://hc.com.vn/i/ecommerce/media/GS.008198_FEATURE_87906.jpg,Gaming
Asus ExpertBook B9450 (US),"14.0"" - 1920x1080",INTEL i7-1165G7,INTEL Iris Xe G7 96 EU,16 GB DDR4,1024 GB - SSD,0.86 Kg / 1.9 lb,Windows 10 Pro,Estimated battery: 8.6 - 9.2 h,36558000,https://www.asus.com/media/Odin/Websites/US/News/bbc9vosswsm6srpg/asus_b9450.png,M?ng nh?
Acer Swift 5 14 (US),"14.0"" - 2560x1600",INTEL i7-1260P,INTEL Iris Xe G7 96 EU,16 GB DDR5,1024 GB - SSD,1.2 Kg / 2.65 lb,Windows 11 Home,Estimated battery: 5.2 - 5.6 h,36228978,https://m.media-amazon.com/images/I/714RFRsf19L.jpg,M?ng nh?
HP 255 (US),"15.6"" - 1366x768",AMD Athlon Silver 3050U,AMD Radeon RX Vega 2 (Picasso),8 GB DDR4,256 GB - SSD,1.74 Kg / 3.84 lb,Windows 10 Home,Estimated battery: 8.1 - 8.6 h,21898242,https://systemactive.co.uk/pub/media/catalog/product/cache/de0d306b9cad3a8633e9b25007319616/i/m/image_09355de2af181a30dbad19cd4072c493_1536980851.jpg,V?n ph�ng
Acer Predator Triton 500 PT516 (US),"16.0"" - 2560x1600",INTEL i7-12700H,NVIDIA GeForce RTX 3070 Ti 105W,16 GB DDR4,1024 GB - SSD,2.45 Kg / 5.4 lb,Windows 11 Home,Estimated battery: 5.9 - 6.3 h,48707442,https://www.tncstore.vn/image/cache/catalog/laptop/laptop%20acer/Triton%20500%20SE%20PT516/laptop-acer-gaming-predator-triton-500-se-pt516-52s-91xh-1-500x500.jpg,Gaming
Lenovo Legion Pro 7 (US),"16.0"" - 2560x1600",INTEL i9-13900HX,NVIDIA GeForce RTX 4080 175W,16 GB DDR5,1024 GB - SSD,2.5 Kg / 5.51 lb,Windows 11 Home,Estimated battery: 2.8 - 3 h,57749454,https://www.bhphotovideo.com/images/images1500x1500/lenovo_82wq002rus_16_legion_pro_7_1745683.jpg,Gaming
Dell Alienware m15 (US),"15.6"" - 1920x1080",AMD Ryzen 9 5900HX,NVIDIA GeForce RTX 3070 130W,32 GB DDR4,2048 GB - SSD,2.69 Kg / 5.93 lb,Windows 11 Home,Estimated battery: 3.8 - 4.1 h,48683070,https://laptopgaumeo.vn/uploads/images/san-pham/alienware-m15-r3/alienware-m15-r3-2020.jpg,Gaming
Tongfang GM5AG0W (US),"15.6"" - 2560x1440",INTEL i7-12700H,NVIDIA GeForce RTX 3060,16 GB DDR5,512 GB - SSD,2.12 Kg / 4.68 lb,Windows 11 Home,Estimated battery: 6.7 - 7.1 h,47513214,https://noteb.com/res/img/models/thumb/t_3714_1.jpg,Gaming
HP EliteBook 650 (US),"15.6"" - 1920x1080",INTEL i5-1235U,INTEL Iris Xe 80 EU,16 GB DDR4,256 GB - SSD,1.74 Kg / 3.83 lb,Windows 11 Pro,Estimated battery: 4.3 - 4.6 h,29490120,https://cdn.cs.1worldsync.com/04/c5/04c54ac9-c85d-4751-9829-cc595f503918.jpg,V?n ph�ng
Acer Swift 14 (US),"14.0"" - 2560x1600",INTEL i7-13700H,INTEL Iris Xe 96 EU,16 GB DDR5,1024 GB - SSD,1.2 Kg / 2.65 lb,Windows 11 Home,Estimated battery: 4.7 - 5.1 h,34084242,"https://static-ecpa.acer.com/media/catalog/product/a/c/acer-swift-go-14-sfg14-71-sfg14-71t-with-fingerprint-pure-silver-01-1000x1000_nx.kf5aa.003.png?optimize=high&bg-color=255,255,255&fit=bounds&height=500&width=500&canvas=500:500&format=jpeg",M?ng nh?
Tongfang GM5AG0Y (US),"15.6"" - 2560x1440",INTEL i7-12700H,NVIDIA GeForce RTX 3060,16 GB DDR5,512 GB - SSD,1.74 Kg / 3.84 lb,Windows 11 Home,Estimated battery: 4.4 - 4.7 h,45076014,https://noteb.com/res/img/models/thumb/t_3834_1.jpg,Gaming
Apple MacBook Pro 16 (US),"16.2"" - 3456x2234",ARM-based Apple M1 Pro 10-core,APPLE M1 Pro 16-core,16 GB DDR5,1024 GB - SSD,1.6 Kg / 3.53 lb,macOS 12,Estimated battery: 13.4 - 14.4 h,47501028,https://store.storeimages.cdn-apple.com/4982/as-images.apple.com/is/mbp16-spacegray-select-202301?wid=904&hei=840&fmt=jpeg&qlt=90&.v=1671304673202,V?n ph�ng
VAIO SX14 (US),"14.0"" - 1920x1080",INTEL i5-1240P,INTEL Iris Xe G7 80 EU,16 GB DDR4,512 GB - SSD,1.17 Kg / 2.59 lb,Windows 11 Pro,Estimated battery: 4.9 - 5.3 h,36521442,https://us.vaio.com/cdn/shop/products/2022SS_SX14_SV_front_1000x.jpg?v=1681949988,M?ng nh?
Lenovo Yoga 9i 15 (US),"15.6"" - 1920x1080",INTEL i7-10750H,NVIDIA GeForce GTX 1650 Ti,12 GB DDR4,1024 GB - SSD,2 Kg / 4.41 lb,Windows 11 Home,Estimated battery: 5 - 5.3 h,41152122,https://p4-ofp.static.pub/ShareResource/na/subseries/gallery/lenovo-yoga-9i-15inch-gen6_.png,Gaming
Razer Blade 15 (US),"15.6"" - 1920x1080",INTEL i7-10875H,NVIDIA GeForce RTX 2070 SUPER Max-Q,16 GB DDR4,512 GB - SSD,2.2 Kg / 4.85 lb,Windows 10 Home,Estimated battery: 6 - 6.5 h,46050894,https://m.media-amazon.com/images/I/71kcJxMggRL.jpg,Gaming
Dell Alienware X15 (US),"15.6"" - 1920x1080",INTEL i9-12900H,NVIDIA GeForce RTX 3070 Ti,16 GB DDR5,1024 GB - SSD,2.5 Kg / 5.51 lb,Windows 11 Home,Estimated battery: 3.7 - 3.9 h,49950414,https://trungtran.vn/images/products/2023/original/355_US_DFH_NPI_FY22Q3_Wk10-AlienwareX15R2-1280x1280.jpg,Gaming
MSI Summit E14 Flip Evo (US),"14.0"" - 2880x1800",INTEL i7-1360P,INTEL Iris Xe 96 EU,32 GB DDR5,1024 GB - SSD,1.59 Kg / 3.51 lb,Windows 11 Pro,Estimated battery: 7.4 - 7.9 h,41298354,https://storage-asset.msi.com/global/picture/image/feature/nb/Summit/Summit-E14-Flip-Evo-A13M/kv-nb.png,V?n ph�ng
MSI Summit E16 Flip (US),"16.0"" - 2560x1600",INTEL i7-1360P,NVIDIA GeForce RTX 4050 45W,32 GB DDR5,1024 GB - SSD,2.1 Kg / 4.63 lb,Windows 11 Pro,Estimated battery: 5.4 - 5.8 h,48098142,https://www.digitaltrends.com/wp-content/uploads/2021/10/msi-summit-e16-flip-2.jpg?p=1,Gaming
Asus ZenBook Pro 16X OLED UX7602 (US),"16.0"" - 3840x2400",INTEL i9-12900H,NVIDIA GeForce RTX 3060 95W,32 GB DDR5,2048 GB - SSD,2.4 Kg / 5.29 lb,Windows 11 Pro,Estimated battery: 3.6 - 3.9 h,58236894,https://dlcdnwebimgs.asus.com/files/media/83948b74-7d4c-423b-89d9-6e58be8a29db/v4/features/images/video/large/kv/kvShow.jpg,Gaming
Samsung Galaxy Book 2 Business (US),"14.0"" - 1920x1080",INTEL i5-1250P,INTEL Iris Xe G7 96 EU,16 GB DDR4,256 GB - SSD,1.5 Kg / 3.31 lb,Windows 11 Pro,Estimated battery: 6.7 - 7.2 h,34084242,https://image-us.samsung.com/SamsungUS/samsungbusiness/computing/galaxy-books/galaxy-book2-business/gallery/Kairos14_WiFi_DarkGray_001_Front-Open_US_GALLERY.jpg?$product-details-jpg$,M?ng nh?
Asus ZenBook Pro 14 Duo (US),"14.5"" - 2880x1800",INTEL i7-12700H,NVIDIA GeForce RTX 3050 Ti,16 GB DDR5,1024 GB - SSD,1.75 Kg / 3.86 lb,Windows 11 Pro,Estimated battery: 4.2 - 4.5 h,50291622,https://dlcdnwebimgs.asus.com/gain/de9b7594-6143-4370-a14c-7220ac3b08c6/,"?? ho?, k? thu?t"
Dell Inspiron 16 Plus 2-in-1 (US),"16.0"" - 3840x2400",INTEL i7-1260P,INTEL Iris Xe G7 96 EU,16 GB DDR4,1024 GB - SSD,2.06 Kg / 4.54 lb,Windows 11 Pro,Estimated battery: 8 - 8.6 h,49791996,https://i.dell.com/is/image/DellContent/content/dam/ss2/product-images/page/category/laptop/prod-2024-notebook-xps-13-9320-nt-13-9315-nt-tablet-13-9315-2-in-1-800x620-v2.png?fmt=png-alpha&wid=800&hei=620,V?n ph�ng
MSI Creator Pro M16 (US),"16.0"" - 2560x1600",INTEL i7-13700H,NVIDIA RTX A1000 105W,32 GB DDR5,1024 GB - SSD,2.29 Kg / 5.05 lb,Windows 10 Pro,Estimated battery: 2.6 - 2.8 h,43833042,https://cdn-amz.woka.io/images/I/71Hor9DHSKL.jpg,"?? ho?, k? thu?t"
Asus ZenBook 14X OLED UX5401Z (US),"14.0"" - 2880x1800",INTEL i9-12900H,INTEL Iris Xe G7 96 EU,32 GB DDR5,1024 GB - SSD,1.4 Kg / 3.09 lb,Windows 11 Pro,Estimated battery: 2.8 - 3 h,48707442,https://cf.shopee.com.my/file/sg-11134201-22110-wl1dgczd2qjv22,"?? ho?, k? thu?t"
Lenovo ThinkPad P16v (US),"16.0"" - 1920x1200",INTEL i7-13700H,NVIDIA RTX A1000 105W,16 GB DDR5,512 GB - SSD,2.2 Kg / 4.85 lb,Windows 11 Pro,Estimated battery: 4.6 - 5 h,48561210,https://www.notebookcheck.net/fileadmin/Notebooks/News/_nc3/ThinkPad_P_AMD_2023.png,"?? ho?, k? thu?t"
Razer Blade 14 (US),"14.0"" - 1920x1080",AMD Ryzen 9 6900HX,NVIDIA GeForce RTX 3060 100W,16 GB DDR5,1024 GB - SSD,1.78 Kg / 3.92 lb,Windows 11 Home,Estimated battery: 4.7 - 5 h,46306800,https://lapvip.vn/upload/products/original/razer-blade-14-amd-4-1629012296.jpg,Gaming
